mode,case,concurrency,completed,duration,request_throughput,input_throughput,output_throughput,total_throughput,mean_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,median_tpot_ms,mean_tpot_ms,p99_tpot_ms,median_itl_ms,p99_itl_ms,max_concurrent_requests
tp4_dp4_dpa_nvl_cg16,4k_500,1,64,177.4796168370085,0.36060479023219616,744.006564546884,90.25825210514923,834.2648166520331,2772.499648984194,6899.401981220725,661.5986099216116,4396.520251941256,8.465306691591255,8.459816526631839,8.547402778855789,8.467171996016987,8.601187436142936,3
tp4_dp4_dpa_nvl_cg16,4k_500,2,64,88.63904731300136,0.7220294208939748,1489.7046392400905,180.7217077078216,1670.4263469479122,2730.009603499184,6962.846159968467,305.9348894539653,1953.8675639498979,9.088667508620771,9.452902972776377,14.367462151521076,8.664804001455195,9.197732997708949,5
tp4_dp4_dpa_nvl_cg16,4k_500,4,64,48.04549176800356,1.332070869604909,2748.3535944976534,333.4131759406412,3081.7667704382948,2904.3254494695248,5904.935716208563,190.08498942253027,460.10569245001534,10.640095828581995,10.849349486550285,14.908850242072404,9.374892004416324,120.62622632132842,7
tp4_dp4_dpa_nvl_cg16,4k_500,8,64,29.392836396000348,2.177401293898565,4492.45517584578,544.9967394837674,5037.451915329548,3465.154267906428,7355.557271800207,232.34316388993648,855.9917751970352,13.151040553177253,12.848571736552126,16.891066057001588,9.974189000786282,133.487435648276,13
tp4_dp4_dpa_nvl_cg16,4k_500,16,64,19.691834326004027,3.2500781258089746,6705.622128133935,813.4843983958432,7519.106526529778,4451.4786526251555,9628.622683690626,414.0116690944069,1210.3773663609172,16.896924916549555,16.725608273272726,25.458154868885945,10.618977990816347,139.5732117135776,20
tp4_dp4_dpa_nvl_cg16,4k_500,32,64,13.210240820000763,4.844726214460964,9995.729964292383,1212.6198317101591,11208.349796002542,5398.431405109704,10732.149385179218,608.1610572819045,1078.215247621556,21.192366238792786,20.345654308829133,31.547153262715426,11.71403999614995,141.69876840198413,38
tp4_dp4_dpa_nvl_cg16,4k_500,64,64,6.6645736069913255,9.603014952503818,19813.120506536237,2403.604633189979,22216.725139726215,3953.2306637647707,6567.401905360457,914.0405333905619,996.155689767038,12.297649891243667,12.711030008579746,20.2872808727746,12.159705001977272,13.71513492485974,64
tp4_dp4_dpa_nvl_cg16,32k_500,1,64,189.16237903400906,0.3383336598261623,5635.02111489282,84.68385776180146,5719.704972654622,2954.997646094853,5425.978489875414,832.9541037662693,1950.3099241464215,8.500872475814091,8.508390318470404,8.604207173773798,8.509284001775086,8.680329553899355,3
tp4_dp4_dpa_nvl_cg16,32k_500,2,64,112.5592583079997,0.568589389820557,9469.980666390398,142.3161474302422,9612.296813820642,3481.390309672406,8297.223051633913,727.3768436721184,1518.4152312348306,9.524944933820208,11.14285967818359,29.39773502680071,8.7152049964061,134.82459095015648,4
tp4_dp4_dpa_nvl_cg16,32k_500,4,64,78.58494369901018,0.8144053680960531,13564.099556814037,203.8431186176668,13767.942675431703,4817.883918326743,10914.945517156448,777.2276935465925,1624.3923964619169,15.177262696531697,16.784262762652013,43.61092513453993,9.331080000265501,179.14389441604726,7
tp4_dp4_dpa_nvl_cg16,32k_500,8,64,55.364727273001336,1.1559706541028996,19252.94411266438,289.3358423136617,19542.27995497804,6706.996148999906,14992.158411807612,776.0042702659575,1501.282997290254,24.393199073146764,28.56666114704741,153.4874206505864,10.003236995544285,150.23025415692246,11
tp4_dp4_dpa_nvl_cg16,32k_500,16,64,38.62649633799447,1.6568937405033861,27595.92769358963,414.71532545505846,28010.643019044688,9203.57398232818,21217.98858390175,1009.9701248593647,2747.3802569630766,36.0273865696448,46.89706577846781,349.6306341544463,10.60417499684263,202.4589599625324,19
tp4_dp4_dpa_nvl_cg16,32k_500,32,64,24.810993660998065,2.579501686810938,42962.16485983016,645.6412112660065,43607.80607109617,11183.094050640193,22191.592490302133,1481.8545569373782,3406.520957159082,43.322507893828,55.486178419166464,333.3141722396604,11.657174007268623,567.0196647587,35
tp4_dp4_dpa_nvl_cg16,32k_500,64,64,13.286882181986584,4.816780876311726,80224.53916578849,1205.6252009005866,81430.16436668907,10504.316164734973,13211.553552789117,3323.7182496886817,7750.997794529831,28.828745173079756,75.41548368553647,889.4761808754276,12.063272995874286,143.73086364474148,64
tp4_dp4_dpa_nvl_cg16,128k_500,1,64,329.0441964339989,0.19450274672398726,13397.197239077364,48.683429683930505,13445.880668761296,5140.742001172384,10543.745632554928,2986.2627038753544,6801.408305561198,8.641294355414999,8.636041944275714,8.842718442705971,8.632330005639233,8.88482300186297,3
tp4_dp4_dpa_nvl_cg16,128k_500,2,64,246.67523257499852,0.25945044961310254,17870.74427368674,64.93963675550452,17935.683910442247,7668.0007557654335,22209.015024831748,3169.790040485168,6604.0875596109245,13.82471102914359,17.623758727355263,46.121690449631956,8.848747005686164,195.2043228739057,4
tp4_dp4_dpa_nvl_cg16,128k_500,4,64,168.88644853100413,0.3789528440954272,26101.975844383574,94.85071264944763,26196.826557033022,10434.741333047668,23693.838049779,2948.058382063209,6380.410551404492,25.899203900979124,30.227560149344885,95.94411766463641,9.424746996955946,195.085170835373,6
tp4_dp4_dpa_nvl_cg16,128k_500,8,64,126.03063074300007,0.5078130580057789,34977.76670648649,127.1040215030402,35104.870727989524,15469.979359156014,33769.18596744479,3113.0550512189075,8073.554012579551,51.5994824587821,59.81489776322965,318.8925224161442,10.22535699303262,200.44914921047163,11
tp4_dp4_dpa_nvl_cg16,128k_500,16,64,96.98482347899699,0.6598970612537107,45453.194034576496,165.17017225348738,45618.36420682998,23691.57252634409,51655.413117462,3527.915488203462,10091.7073689471,92.43332817899554,132.55152303371634,1236.3957732932456,10.906027993769385,362.5896769211976,19
tp4_dp4_dpa_nvl_cg16,128k_500,32,64,82.5466643559921,0.7753190331712563,53403.369286841466,194.05993113078677,53597.429217972254,39999.9644021716,79954.8239178682,5946.57123429738,18617.668314971226,150.52246365993403,265.94294240331703,2929.268202594459,77.04174499667715,2518.4054796074633,35
tp4_dp4_dpa_nvl_cg16,128k_500,64,64,52.060580122997635,1.229337050197951,84675.7755980644,307.6992219862653,84983.47482005067,48753.09963568816,52045.72098563556,17321.37563156357,44395.037006793704,134.3527522683627,429.26941794536685,6291.269508547111,12.599441994098015,185.37804611463798,64
tp8_dp8_dpa_nvl_cg16,4k_500,1,64,205.27549263100082,0.3117761364482274,643.2623705225411,78.0365926525649,721.298963175106,3206.721455359002,8051.493315943661,1080.240641687169,4345.4666465679475,8.520193720045508,8.523119013027767,8.645442575417674,8.523522003088146,8.68433456402272,3
tp8_dp8_dpa_nvl_cg16,4k_500,2,64,94.04064194399689,0.6805568175312254,1404.137586370753,170.34124468801096,1574.4788310587642,2898.3451596395753,8192.646763581428,398.5517634837379,2978.553784573591,9.056782395789188,9.641912727555288,16.30055489131559,8.61984099901747,13.009393724496366,4
tp8_dp8_dpa_nvl_cg16,4k_500,4,64,52.480775181000354,1.219494181998477,2516.0832618151703,305.2355828349001,2821.3188446500703,3179.2555814070056,6594.454859441754,294.2960526402203,601.1098416754975,11.207438433351381,11.527906013960918,18.93678564659275,8.837764005875215,127.55861200159413,7
tp8_dp8_dpa_nvl_cg16,4k_500,8,64,33.736712468002224,1.8970431710173645,3914.015040002483,474.82397744573694,4388.83901744822,4011.5873670640667,8752.876536936381,308.88947946982626,659.1590557585005,15.14420311870873,14.704947886493445,23.331862946389993,9.547432011459023,140.09858348173995,11
tp8_dp8_dpa_nvl_cg16,4k_500,16,64,22.071016615998815,2.8997304978515466,5982.778333114145,725.7934819544363,6708.571815068582,5052.978089452381,11249.387814252112,417.7231461565043,1165.4548410285497,19.56545118080634,21.156867892127707,66.99742421960417,9.963849995983765,135.5336874819477,20
tp8_dp8_dpa_nvl_cg16,4k_500,32,64,15.01595845700649,4.262132196439143,8793.711062671924,1066.7983696056037,9860.509432277528,6330.419591156669,12585.19505184202,880.7028206722407,2072.792039333435,22.97443418560222,30.929652790952368,173.88191406768937,10.529539998969994,137.42835328477668,37
tp8_dp8_dpa_nvl_cg16,4k_500,64,64,7.453563536008005,8.58649687371918,17715.82134667379,2149.17333468918,19864.994681362972,4896.630222421209,7348.08800450919,1467.9035196872974,2246.4675110660028,13.176433144134265,26.441760902489044,244.86870905328044,10.678949998691678,12.81691068055804,64
tp8_dp8_dpa_nvl_cg16,32k_500,1,64,239.31102973400266,0.26743439310397366,4454.178318420173,66.93799286144616,4521.116311281619,3738.518082188193,8207.734984806299,1601.5834838290175,4692.07083200075,8.570737668553324,8.565251019850722,8.652583612291547,8.573124010581523,8.724900995730422,3
tp8_dp8_dpa_nvl_cg16,32k_500,2,64,160.4450721230096,0.39889040625026273,6643.606973374493,99.84102215192122,6743.447995526414,4979.7474466111,14493.257992081048,1548.8753727656785,4376.986959575292,10.969132362721659,13.560427947419393,41.909718109766764,8.664199005579576,183.29293533839515,4
tp8_dp8_dpa_nvl_cg16,32k_500,4,64,112.08311640800093,0.571004822591027,9510.210227558497,142.92072270446346,9653.13095026296,6898.504988983859,16126.40739217036,1428.5098803898109,2974.4654112645367,21.060113452595452,26.574462261639884,140.974692315319,8.874855004251003,194.30408177606296,6
tp8_dp8_dpa_nvl_cg16,32k_500,8,64,82.42011051900045,0.7765095144497043,12932.93582461611,194.35790487452832,13127.293729490639,10096.094341390653,24146.19072864618,1433.8981519374556,2848.267167747108,34.80667291715875,35.674565152074855,97.67395831882878,9.595973999239504,196.77290811785497,11
tp8_dp8_dpa_nvl_cg16,32k_500,16,64,51.714875677003874,1.2375549425996004,20611.748284140038,309.75613477348435,20921.504418913522,12427.768169030287,28498.027357213272,1257.4039868911768,2602.0491097541526,49.47423493579228,48.279600623913566,117.52288804905777,10.01648700912483,180.355584899371,19
tp8_dp8_dpa_nvl_cg16,32k_500,32,64,29.009347264000098,2.2061854552454014,36744.5013601805,552.2013251183764,37296.70268529887,13338.836405391476,26549.065282238735,1792.3534723124703,4105.389542390475,51.990745496409424,70.01749833971702,479.29444556415336,10.543141994276084,180.13548637914937,36
tp8_dp8_dpa_nvl_cg16,32k_500,64,64,13.18471688599675,4.854104987872227,80846.18040847805,1214.9673093863314,82061.14771786437,10522.515080375115,13058.34712529715,3742.135091171349,7245.227282793636,27.287233662471966,75.71068067698455,941.4578389917888,10.729735004133545,144.86277400283143,64
tp8_dp8_dpa_nvl_cg16,128k_500,1,64,489.44033873200533,0.13076159632817558,9006.756597587602,32.72921893095382,9039.485816518556,7646.838553155476,14909.692396142922,5476.003382436829,11597.675924912326,8.694528389350166,8.713595135371094,9.017528119557854,8.690821996424347,8.926980819669552,3
tp8_dp8_dpa_nvl_cg16,128k_500,2,64,384.0060747259995,0.1666640301085498,11479.688187603388,41.71548591107592,11521.403673514464,11962.434566140928,30407.60309464689,5752.2241193594255,13114.468954380134,18.094131317872083,23.553930020527684,71.25513967156125,8.82215000456199,199.2492206580936,4
tp8_dp8_dpa_nvl_cg16,128k_500,4,64,281.37502792899613,0.22745444210546695,15666.884273441668,56.9311360638668,15723.815409505536,17459.731268922726,35813.145955858774,6234.7086776876495,12485.118977140226,40.29778497340387,43.64547663155188,144.2969515886713,9.059813994099386,209.64894221862767,8
tp8_dp8_dpa_nvl_cg16,128k_500,8,64,203.75131976600096,0.31410839484868647,21635.540839994046,78.62034964189232,21714.16118963594,24983.820849907715,51028.88126865188,5798.969894126003,11933.79563358554,77.92841523198535,71.97771097057654,125.64560221365392,9.863366998615675,218.44513887772283,12
tp8_dp8_dpa_nvl_cg16,128k_500,16,64,117.40390792700055,0.54512665830335,37547.89834373295,136.44349905252133,37684.34184278548,28800.09895959347,64456.51141511553,5575.068824327673,13312.626685726706,100.5080167843067,96.39478791794478,207.6999340018385,11.042504993383773,306.1158212056034,20
tp8_dp8_dpa_nvl_cg16,128k_500,32,64,96.88722690999566,0.6605617896304683,45498.980005848505,165.33655168891363,45664.31655753742,46818.821746046975,94194.14155105085,8316.950753484889,21624.588051152095,173.34355957651331,242.27204896772724,1984.446470254763,136.81373099097982,414.62144387915026,35
tp8_dp8_dpa_nvl_cg16,128k_500,64,64,55.03564051899593,1.16288280460568,80098.45907904815,291.0659319840373,80389.52501103218,50205.3160765945,54812.6584677631,19780.742306829325,45291.47364061048,134.92129654296352,222.23874998129892,1360.9516291331001,11.123528995085508,162.40833056886913,64
