case,concurrency,tp4_output_tok_s,tp8_output_tok_s,tp8_over_tp4,tp4_output_tok_s_per_gpu,tp8_output_tok_s_per_gpu,tp8_over_tp4_per_gpu,tp4_mean_ttft_ms,tp8_mean_ttft_ms,tp4_p99_tpot_ms,tp8_p99_tpot_ms
4k_500,1,90.25825210514923,78.0365926525649,0.8645923318086605,22.564563026287306,9.754574081570613,0.43229616590433023,661.5986099216116,1080.240641687169,8.547402778855789,8.645442575417674
4k_500,2,180.7217077078216,170.34124468801096,0.9425610616927489,45.1804269269554,21.29265558600137,0.47128053084637445,305.9348894539653,398.5517634837379,14.367462151521076,16.30055489131559
4k_500,4,333.4131759406412,305.2355828349001,0.915487463786501,83.3532939851603,38.15444785436251,0.4577437318932505,190.08498942253027,294.2960526402203,14.908850242072404,18.93678564659275
4k_500,8,544.9967394837674,474.82397744573694,0.8712418681541111,136.24918487094186,59.35299718071712,0.43562093407705554,232.34316388993648,308.88947946982626,16.891066057001588,23.331862946389993
4k_500,16,813.4843983958432,725.7934819544363,0.8922033211524035,203.3710995989608,90.72418524430454,0.44610166057620176,414.0116690944069,417.7231461565043,25.458154868885945,66.99742421960417
4k_500,32,1212.6198317101591,1066.7983696056037,0.8797467612756232,303.1549579275398,133.34979620070047,0.4398733806378116,608.1610572819045,880.7028206722407,31.547153262715426,173.88191406768937
4k_500,64,2403.604633189979,2149.17333468918,0.8941459443922246,600.9011582974947,268.6466668361475,0.4470729721961123,914.0405333905619,1467.9035196872974,20.2872808727746,244.86870905328044
32k_500,1,84.68385776180146,66.93799286144616,0.7904457192978759,21.170964440450366,8.36724910768077,0.39522285964893794,832.9541037662693,1601.5834838290175,8.604207173773798,8.652583612291547
32k_500,2,142.3161474302422,99.84102215192122,0.7015438792766603,35.57903685756055,12.480127768990153,0.35077193963833014,727.3768436721184,1548.8753727656785,29.39773502680071,41.909718109766764
32k_500,4,203.8431186176668,142.92072270446346,0.7011309661746743,50.9607796544167,17.865090338057932,0.35056548308733715,777.2276935465925,1428.5098803898109,43.61092513453993,140.974692315319
32k_500,8,289.3358423136617,194.35790487452832,0.6717380858187275,72.33396057841543,24.29473810931604,0.33586904290936376,776.0042702659575,1433.8981519374556,153.4874206505864,97.67395831882878
32k_500,16,414.71532545505846,309.75613477348435,0.7469126790373503,103.67883136376462,38.71951684668554,0.37345633951867513,1009.9701248593647,1257.4039868911768,349.6306341544463,117.52288804905777
32k_500,32,645.6412112660065,552.2013251183764,0.8552758335168718,161.41030281650163,69.02516563979705,0.4276379167584359,1481.8545569373782,1792.3534723124703,333.3141722396604,479.29444556415336
32k_500,64,1205.6252009005866,1214.9673093863314,1.0077487667633078,301.40630022514665,151.87091367329143,0.5038743833816539,3323.7182496886817,3742.135091171349,889.4761808754276,941.4578389917888
128k_500,1,48.683429683930505,32.72921893095382,0.6722866310661166,12.170857420982626,4.0911523663692275,0.3361433155330583,2986.2627038753544,5476.003382436829,8.842718442705971,9.017528119557854
128k_500,2,64.93963675550452,41.71548591107592,0.6423732560767668,16.23490918887613,5.21443573888449,0.3211866280383834,3169.790040485168,5752.2241193594255,46.121690449631956,71.25513967156125
128k_500,4,94.85071264944763,56.9311360638668,0.6002183270280188,23.712678162361907,7.11639200798335,0.3001091635140094,2948.058382063209,6234.7086776876495,95.94411766463641,144.2969515886713
128k_500,8,127.1040215030402,78.62034964189232,0.618551236319551,31.77600537576005,9.82754370523654,0.3092756181597755,3113.0550512189075,5798.969894126003,318.8925224161442,125.64560221365392
128k_500,16,165.17017225348738,136.44349905252133,0.8260783238944674,41.292543063371845,17.055437381565167,0.4130391619472337,3527.915488203462,5575.068824327673,1236.3957732932456,207.6999340018385
128k_500,32,194.05993113078677,165.33655168891363,0.8519870677346835,48.51498278269669,20.667068961114204,0.42599353386734173,5946.57123429738,8316.950753484889,2929.268202594459,1984.446470254763
128k_500,64,307.6992219862653,291.0659319840373,0.945943022231722,76.92480549656632,36.383241498004665,0.472971511115861,17321.37563156357,19780.742306829325,6291.269508547111,1360.9516291331001
