case,concurrency,successful_requests,request_throughput,input_throughput,output_throughput,total_token_throughput,mean_e2e_latency_ms,p99_e2e_latency_ms,mean_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,file
4k_500,1,,0.4400092903471762,920.8558429314738,109.76471757000657,,2272.1276137598034,4312.249850507688,176.90076800990937,207.8258661623477,8.427646154754274,8.540039291096534,tp4_nvl_off_4k_500_c1.json
4k_500,4,,1.387404614296982,2903.574250846867,346.10195508252514,,2863.2099878498047,5718.049881039079,179.79521423974802,526.1233975305367,10.876048311371255,17.975547947321203,tp4_nvl_off_4k_500_c4.json
4k_500,8,,2.2656063463937497,4741.483617796303,565.1781591713848,,3411.356111159912,7041.736159209978,192.6348900899393,600.6155975312868,12.98744508953557,21.672593693062197,tp4_nvl_off_4k_500_c8.json
4k_500,16,,3.4147893734710375,7146.505348693922,851.853357106085,,4354.657634140094,8834.478314890257,257.8701604800517,802.6638682600606,16.635487320633654,24.757177890916786,tp4_nvl_off_4k_500_c16.json
4k_500,32,,5.166387811444183,10812.2680756685,1288.807103442866,,5379.1408027599755,11459.408436658816,325.94974162984727,619.5442309369537,21.593120419315717,39.21607770501412,tp4_nvl_off_4k_500_c32.json
4k_500,64,,7.636788080240851,15982.346462208856,1905.0731544968828,,6407.810552059891,10936.492392159707,628.5606386899235,933.3807872513717,24.50533236554044,30.796760590477753,tp4_nvl_off_4k_500_c64.json
4k_500,128,,14.715674268639537,30797.110266151507,3670.972103054819,,3990.687545360015,6722.092966968849,800.7278957399831,860.868881680035,13.222697286695013,17.036676379954965,tp4_nvl_off_4k_500_c128.json
32k_500,1,,0.3569423479671447,5747.175147124232,89.04283812388391,,2801.018942970004,5267.24958067891,694.2398529597995,1512.657790140329,8.472955656895072,8.594983494496702,tp4_nvl_off_32k_500_c1.json
32k_500,4,,0.8709815118314856,14023.786549595288,217.27504794148243,,4562.961219689969,10025.58201861186,746.8507979301285,1487.8823523001483,15.071997885346743,30.583175980519265,tp4_nvl_off_32k_500_c4.json
32k_500,8,,1.2571815288728634,20242.04322998073,313.6165041926245,,6230.119471100043,14226.818134979805,744.4682780500079,1434.1939588481912,21.375619015870626,43.890103448308395,tp4_nvl_off_32k_500_c8.json
32k_500,16,,1.7119663596454378,27564.592912277945,427.06712807715087,,9022.552299320196,19597.92433175113,915.468017610292,2804.0974569312325,33.35419630383861,76.91212067262451,tp4_nvl_off_32k_500_c16.json
32k_500,32,,2.324527179728631,37427.51430934405,579.8765502551042,,12948.332054910315,27425.838291239827,1379.7788574401056,5212.845928459211,48.45500336735809,78.05941908704166,tp4_nvl_off_32k_500_c32.json
32k_500,64,,3.513587048512822,56572.72183442125,876.4994251220086,,16255.108249409968,26432.50918008991,2901.173605910044,7358.457335188869,76.72768579509098,180.798767801915,tp4_nvl_off_32k_500_c64.json
32k_500,128,,4.858824197394244,78232.56004939039,1212.0822842819682,,17620.07820416009,20436.62195616096,7030.887315490036,14618.808967039697,110.13851138077425,735.5677900420361,tp4_nvl_off_32k_500_c128.json
128k_500,1,,0.19750317212269114,13405.442881463647,49.26914131772653,,5062.64586780002,9273.345691478726,2925.4888813700745,5903.972418359452,8.598144828887635,8.838208547669188,tp4_nvl_off_128k_500_c1.json
128k_500,4,,0.39377097633552094,26727.035697253657,98.23010775665905,,10128.69904517007,23107.44830054912,2957.6446910998493,6321.332044620431,30.41935222754495,160.601934202241,tp4_nvl_off_128k_500_c4.json
128k_500,8,,0.5034075212314937,34168.569038353504,125.5800402464084,,15749.61095928993,33655.89385407153,3098.4944704997542,7785.3144901093465,54.29553365849573,164.84359330353348,tp4_nvl_off_128k_500_c8.json
128k_500,16,,0.6721367324100395,45620.99169353649,167.67122926700844,,23440.632026099738,50013.37139120188,3614.113048939871,11788.172641548963,80.41848160138017,152.9220400323418,tp4_nvl_off_128k_500_c16.json
128k_500,32,,0.8455066077380535,57388.39743237905,210.92007836633482,,36899.19995773991,79602.19679773973,5322.927604439974,20325.8906395593,137.63616947961373,356.0849862953408,tp4_nvl_off_128k_500_c32.json
128k_500,64,,1.0626460215085725,72126.64177210511,265.08767652552854,,57965.376510220376,91670.35083444306,13738.906650690442,44593.03860878117,366.4661002577775,1396.5053849590095,tp4_nvl_off_128k_500_c64.json
128k_500,128,,1.351663234454841,91743.56082343152,337.18591046710463,,70148.25834085005,73812.5516190016,28609.441719410243,66283.3203823186,515.3701500959883,3118.1730588770192,tp4_nvl_off_128k_500_c128.json
